t,value
"Jan 1, 2050",8.656
"Jan 2, 2050",3.976
"Jan 3, 2050",0.367
"Jan 4, 2050",0.43
"Jan 5, 2050",0.046
"Jan 6, 2050",2.078
"Jan 7, 2050",9.017
"Jan 8, 2050",0.375
"Jan 9, 2050",0.0
"Jan 10, 2050",0.0
"Jan 11, 2050",0.629
"Jan 12, 2050",0.318
"Jan 13, 2050",0.0
"Jan 14, 2050",0.0
"Jan 15, 2050",0.0
"Jan 16, 2050",0.0
"Jan 17, 2050",0.0
"Jan 18, 2050",0.0
"Jan 19, 2050",0.0
"Jan 20, 2050",0.0
"Jan 21, 2050",0.0
"Jan 22, 2050",0.0
"Jan 23, 2050",6.527
"Jan 24, 2050",5.62
"Jan 25, 2050",8.579
"Jan 26, 2050",5.027
"Jan 27, 2050",8.46
"Jan 28, 2050",3.439
"Jan 29, 2050",5.778
"Jan 30, 2050",7.255
"Jan 31, 2050",10.387
"Feb 1, 2050",8.852
"Feb 2, 2050",6.144
"Feb 3, 2050",5.41
"Feb 4, 2050",10.624
"Feb 5, 2050",16.418
"Feb 6, 2050",26.17
"Feb 7, 2050",12.165
"Feb 8, 2050",0.0
"Feb 9, 2050",4.581
"Feb 10, 2050",4.685
"Feb 11, 2050",3.338
"Feb 12, 2050",2.586
"Feb 13, 2050",4.92
"Feb 14, 2050",0.243
"Feb 15, 2050",5.021
"Feb 16, 2050",4.073
"Feb 17, 2050",0.0
"Feb 18, 2050",0.0
"Feb 19, 2050",0.0
"Feb 20, 2050",0.0
"Feb 21, 2050",14.636
"Feb 22, 2050",15.535
"Feb 23, 2050",2.796
"Feb 24, 2050",0.199
"Feb 25, 2050",0.0
"Feb 26, 2050",1.801
"Feb 27, 2050",0.796
"Feb 28, 2050",0.0
"Mar 1, 2050",0.0
"Mar 2, 2050",0.0
"Mar 3, 2050",0.0
"Mar 4, 2050",0.0
"Mar 5, 2050",0.0
"Mar 6, 2050",8.641
"Mar 7, 2050",4.742
"Mar 8, 2050",8.734
"Mar 9, 2050",4.417
"Mar 10, 2050",1.588
"Mar 11, 2050",3.949
"Mar 12, 2050",9.241
"Mar 13, 2050",22.138
"Mar 14, 2050",12.962
"Mar 15, 2050",9.363
"Mar 16, 2050",0.843
"Mar 17, 2050",5.512
"Mar 18, 2050",13.132
"Mar 19, 2050",11.711
"Mar 20, 2050",13.212
"Mar 21, 2050",13.605
"Mar 22, 2050",8.183
"Mar 23, 2050",5.623
"Mar 24, 2050",5.679
"Mar 25, 2050",0.249
"Mar 26, 2050",5.897
"Mar 27, 2050",23.471
"Mar 28, 2050",1.399
"Mar 29, 2050",11.382
"Mar 30, 2050",21.929
"Mar 31, 2050",20.975
"Apr 1, 2050",16.516
"Apr 2, 2050",2.576
"Apr 3, 2050",11.903
"Apr 4, 2050",10.643
"Apr 5, 2050",15.985
"Apr 6, 2050",15.952
"Apr 7, 2050",46.581
"Apr 8, 2050",2.073
"Apr 9, 2050",7.68
"Apr 10, 2050",3.797
"Apr 11, 2050",1.225
"Apr 12, 2050",6.76
"Apr 13, 2050",7.382
"Apr 14, 2050",11.2
"Apr 15, 2050",2.897
"Apr 16, 2050",0.0
"Apr 17, 2050",0.0
"Apr 18, 2050",0.0
"Apr 19, 2050",0.652
"Apr 20, 2050",0.0
"Apr 21, 2050",0.0
"Apr 22, 2050",0.0
"Apr 23, 2050",0.0
"Apr 24, 2050",0.0
"Apr 25, 2050",0.078
"Apr 26, 2050",0.0
"Apr 27, 2050",0.0
"Apr 28, 2050",0.0
"Apr 29, 2050",0.0
"Apr 30, 2050",12.94
"May 1, 2050",7.384
"May 2, 2050",8.649
"May 3, 2050",5.937
"May 4, 2050",10.695
"May 5, 2050",8.935
"May 6, 2050",1.65
"May 7, 2050",7.283
"May 8, 2050",8.867
"May 9, 2050",1.106
"May 10, 2050",0.038
"May 11, 2050",0.172
"May 12, 2050",1.52
"May 13, 2050",15.605
"May 14, 2050",4.32
"May 15, 2050",0.172
"May 16, 2050",0.207
"May 17, 2050",0.423
"May 18, 2050",14.034
"May 19, 2050",10.791
"May 20, 2050",2.434
"May 21, 2050",10.11
"May 22, 2050",12.987
"May 23, 2050",14.15
"May 24, 2050",7.394
"May 25, 2050",6.231
"May 26, 2050",11.129
"May 27, 2050",13.534
"May 28, 2050",11.383
"May 29, 2050",13.966
"May 30, 2050",15.224
"May 31, 2050",2.095
"Jun 1, 2050",3.981
"Jun 2, 2050",0.827
"Jun 3, 2050",6.974
"Jun 4, 2050",3.992
"Jun 5, 2050",1.51
"Jun 6, 2050",0.509
"Jun 7, 2050",5.375
"Jun 8, 2050",5.473
"Jun 9, 2050",12.35
"Jun 10, 2050",6.999
"Jun 11, 2050",0.054
"Jun 12, 2050",6.38
"Jun 13, 2050",7.981
"Jun 14, 2050",5.066
"Jun 15, 2050",0.392
"Jun 16, 2050",0.407
"Jun 17, 2050",0.63
"Jun 18, 2050",0.836
"Jun 19, 2050",0.686
"Jun 20, 2050",0.685
"Jun 21, 2050",0.0
"Jun 22, 2050",1.197
"Jun 23, 2050",0.869
"Jun 24, 2050",0.126
"Jun 25, 2050",2.205
"Jun 26, 2050",0.0
"Jun 27, 2050",0.0
"Jun 28, 2050",0.0
"Jun 29, 2050",1.763
"Jun 30, 2050",4.647
"Jul 1, 2050",2.561
"Jul 2, 2050",7.075
"Jul 3, 2050",11.173
"Jul 4, 2050",0.0
"Jul 5, 2050",0.379
"Jul 6, 2050",1.987
"Jul 7, 2050",1.048
"Jul 8, 2050",0.0
"Jul 9, 2050",0.0
"Jul 10, 2050",0.0
"Jul 11, 2050",0.0
"Jul 12, 2050",1.323
"Jul 13, 2050",2.505
"Jul 14, 2050",3.198
