t,value
"Jan 1, 2050",289.769
"Jan 2, 2050",289.433
"Jan 3, 2050",288.421
"Jan 4, 2050",288.723
"Jan 5, 2050",289.726
"Jan 6, 2050",289.211
"Jan 7, 2050",290.929
"Jan 8, 2050",289.237
"Jan 9, 2050",288.127
"Jan 10, 2050",286.829
"Jan 11, 2050",288.465
"Jan 12, 2050",288.73
"Jan 13, 2050",288.614
"Jan 14, 2050",287.692
"Jan 15, 2050",286.541
"Jan 16, 2050",286.396
"Jan 17, 2050",285.389
"Jan 18, 2050",286.576
"Jan 19, 2050",287.268
"Jan 20, 2050",286.0
"Jan 21, 2050",284.772
"Jan 22, 2050",284.726
"Jan 23, 2050",286.834
"Jan 24, 2050",287.529
"Jan 25, 2050",287.359
"Jan 26, 2050",286.949
"Jan 27, 2050",287.004
"Jan 28, 2050",288.008
"Jan 29, 2050",288.443
"Jan 30, 2050",288.873
"Jan 31, 2050",288.115
"Feb 1, 2050",288.276
"Feb 2, 2050",288.729
"Feb 3, 2050",288.049
"Feb 4, 2050",288.635
"Feb 5, 2050",289.033
"Feb 6, 2050",289.224
"Feb 7, 2050",288.343
"Feb 8, 2050",287.173
"Feb 9, 2050",286.82
"Feb 10, 2050",286.73
"Feb 11, 2050",286.672
"Feb 12, 2050",287.293
"Feb 13, 2050",287.887
"Feb 14, 2050",287.504
"Feb 15, 2050",287.96
"Feb 16, 2050",287.62
"Feb 17, 2050",287.193
"Feb 18, 2050",286.749
"Feb 19, 2050",287.677
"Feb 20, 2050",288.096
"Feb 21, 2050",287.304
"Feb 22, 2050",287.395
"Feb 23, 2050",287.37
"Feb 24, 2050",287.689
"Feb 25, 2050",287.315
"Feb 26, 2050",287.284
"Feb 27, 2050",287.326
"Feb 28, 2050",286.14
"Mar 1, 2050",286.12
"Mar 2, 2050",286.134
"Mar 3, 2050",286.51
"Mar 4, 2050",287.059
"Mar 5, 2050",287.211
"Mar 6, 2050",286.792
"Mar 7, 2050",287.257
"Mar 8, 2050",287.603
"Mar 9, 2050",288.278
"Mar 10, 2050",288.494
"Mar 11, 2050",288.217
"Mar 12, 2050",287.941
"Mar 13, 2050",286.192
"Mar 14, 2050",286.128
"Mar 15, 2050",286.31
"Mar 16, 2050",286.161
"Mar 17, 2050",287.263
"Mar 18, 2050",287.079
"Mar 19, 2050",287.357
"Mar 20, 2050",287.74
"Mar 21, 2050",287.786
"Mar 22, 2050",287.452
"Mar 23, 2050",287.146
"Mar 24, 2050",287.386
"Mar 25, 2050",285.914
"Mar 26, 2050",287.716
"Mar 27, 2050",286.567
"Mar 28, 2050",287.455
"Mar 29, 2050",287.528
"Mar 30, 2050",287.168
"Mar 31, 2050",286.525
"Apr 1, 2050",286.45
"Apr 2, 2050",287.435
"Apr 3, 2050",287.78
"Apr 4, 2050",287.794
"Apr 5, 2050",287.185
"Apr 6, 2050",286.756
"Apr 7, 2050",286.625
"Apr 8, 2050",286.762
"Apr 9, 2050",287.033
"Apr 10, 2050",287.467
"Apr 11, 2050",287.328
"Apr 12, 2050",287.851
"Apr 13, 2050",288.084
"Apr 14, 2050",287.874
"Apr 15, 2050",287.928
"Apr 16, 2050",287.41
"Apr 17, 2050",286.997
"Apr 18, 2050",287.495
"Apr 19, 2050",287.403
"Apr 20, 2050",286.87
"Apr 21, 2050",286.853
"Apr 22, 2050",286.271
"Apr 23, 2050",285.978
"Apr 24, 2050",286.448
"Apr 25, 2050",287.505
"Apr 26, 2050",287.543
"Apr 27, 2050",287.404
"Apr 28, 2050",286.932
"Apr 29, 2050",287.217
"Apr 30, 2050",287.73
"May 1, 2050",288.125
"May 2, 2050",287.553
"May 3, 2050",287.629
"May 4, 2050",287.998
"May 5, 2050",287.732
"May 6, 2050",287.688
"May 7, 2050",288.296
"May 8, 2050",288.823
"May 9, 2050",287.948
"May 10, 2050",287.987
"May 11, 2050",287.807
"May 12, 2050",288.512
"May 13, 2050",287.965
"May 14, 2050",287.389
"May 15, 2050",288.081
"May 16, 2050",288.47
"May 17, 2050",288.376
"May 18, 2050",287.799
"May 19, 2050",287.075
"May 20, 2050",287.209
"May 21, 2050",288.3
"May 22, 2050",287.927
"May 23, 2050",288.203
"May 24, 2050",287.024
"May 25, 2050",288.219
"May 26, 2050",287.87
"May 27, 2050",286.884
"May 28, 2050",288.024
"May 29, 2050",287.965
"May 30, 2050",287.587
"May 31, 2050",286.235
"Jun 1, 2050",288.026
"Jun 2, 2050",287.572
"Jun 3, 2050",288.12
"Jun 4, 2050",288.321
"Jun 5, 2050",287.719
"Jun 6, 2050",288.261
"Jun 7, 2050",286.987
"Jun 8, 2050",288.123
"Jun 9, 2050",287.947
"Jun 10, 2050",286.948
"Jun 11, 2050",286.694
"Jun 12, 2050",289.233
"Jun 13, 2050",288.145
"Jun 14, 2050",288.482
"Jun 15, 2050",287.91
"Jun 16, 2050",287.857
"Jun 17, 2050",287.666
"Jun 18, 2050",287.818
"Jun 19, 2050",287.77
"Jun 20, 2050",286.916
"Jun 21, 2050",287.288
"Jun 22, 2050",286.707
"Jun 23, 2050",286.618
"Jun 24, 2050",286.209
"Jun 25, 2050",287.219
"Jun 26, 2050",286.358
"Jun 27, 2050",286.725
"Jun 28, 2050",286.741
"Jun 29, 2050",286.638
"Jun 30, 2050",288.333
"Jul 1, 2050",288.242
"Jul 2, 2050",287.741
"Jul 3, 2050",287.943
