P,ETP,Q
2.9,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.3
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.2
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.14,1.1
0,3.34,1.1
0,3.34,1.1
0,3.34,1.1
0,3.34,1.1
0,3.34,1.1
0,3.34,1.1
0,3.34,1.3
0,3.34,1.3
0,3.34,1.3
0,3.34,1.3
0,3.34,1.2
0,3.34,1.1
0,3.34,1.1
0,3.34,1.3
0,3.34,1.3
0,3.34,1.3
1.2,3.34,1.3
0,3.34,1.3
0,3.34,1.3
0,3.34,1.3
0.5,3.34,1.5
0,3.34,1.4
0,3.34,1.6
0,3.34,1.5
0,3.34,1.5
0,3.34,1.5
0,3.34,1.6
0,3.34,1.6
0,3.4,1.5
0,3.4,1.5
0,3.4,1.5
0,3.4,4.2
0,3.4,1.9
1,3.4,1.8
0,3.4,1.6
7.9,3.4,1.6
0,3.4,2.1
0,3.4,1.6
0,3.4,1.2
0,3.4,1.1
0,3.4,1
7.2,3.4,3.3
0,3.4,2.1
0,3.4,1
1.2,3.4,1.5
0,3.4,1
0,3.4,0.7
0,3.4,0.5
0,3.4,0.4
0,3.4,0.4
0,3.4,0.4
0.7,3.4,0.4
0,3.4,0.5
0,3.4,0.5
0,3.4,0.4
0,3.4,0.4
3.4,3.4,0.4
0,3.4,0.4
0,3.4,0.4
0,3.54,0.7
0.9,3.54,1.2
9.7,3.54,2
0,3.54,5.2
0,3.54,3.7
19.2,3.54,3.7
18.4,3.54,4.7
0,3.54,13.2
28.1,3.54,10.4
20,3.54,20.8
13,3.54,10.9
0,3.54,11.7
3.5,3.54,8.2
3,3.54,11.8
0,3.54,10.5
25.2,3.54,7.6
4.5,3.54,10.7
13.1,3.54,12.2
5.3,3.54,34.4
2.6,3.54,23.8
12.2,3.54,13
0,3.54,15.4
0,3.54,8.3
0,3.54,5.5
0,3.54,4.2
0,3.54,3.4
18.6,3.54,4
14.1,3.54,10.1
4.2,3.54,17
1,3.54,12.6
16.6,3.12,12.9
12.6,3.12,22.5
8.4,3.12,15.3
1.5,3.12,13.7
10,3.12,9.1
0,3.12,7.1
0,3.12,5.6
0,3.12,4.8
0,3.12,3.6
0,3.12,3.3
0,3.12,3.1
46.3,3.12,3.3
0.7,3.12,3.5
17.6,3.12,5.1
18,3.12,5.7
0,3.12,17.7
1.3,3.12,7.7
7.5,3.12,5.1
0.3,3.12,6.1
41.5,3.12,18.2
4,3.12,22.7
4.2,3.12,23.6
1.4,3.12,27.4
2.1,3.12,20.5
0,3.12,14.3
8.1,3.12,11
0,3.12,8.6
2.8,3.12,6.7
12,3.12,7.9
0,3.12,7.1
0,3.12,5.1
0,3.37,4.4
0,3.37,3.9
1.1,3.37,3.3
0,3.37,3.7
0,3.37,4.2
0,3.37,6.9
0,3.37,7
0,3.37,6.2
1.5,3.37,4.1
6.5,3.37,4.4
5.7,3.37,9.1
2.5,3.37,13.1
0,3.37,7.4
10.6,3.37,7.1
3.8,3.37,16.1
4.3,3.37,8.7
3.6,3.37,6.8
0,3.37,4.8
0,3.37,3.5
0.8,3.37,3
0.6,3.37,5.9
2.4,3.37,4.8
0,3.37,2.8
0,3.37,2.3
2.1,3.37,2.9
0,3.37,3.1
0,3.37,2.2
0,3.37,1.9
1.5,3.37,6.4
4.8,3.37,4.5
0,3.36,3.3
0.9,3.36,3.5
0,3.36,3.9
3.6,3.36,3
0,3.36,4.1
5,3.36,2.6
0,3.36,8.1
0,3.36,3.3
10.3,3.36,3.3
0.3,3.36,4.2
0,3.36,2.7
0,3.36,2.5
0,3.36,2.6
3.1,3.36,2
0,3.36,4
0.3,3.36,3.1
0,3.36,3.2
0,3.36,2.7
0,3.36,2.2
0,3.36,2.1
0,3.36,2.7
0,3.36,6.1
0.6,3.36,6.4
0,3.36,6.3
0,3.36,3.4
0,3.36,2.9
0,3.36,2.8
3,3.36,2.5
0,3.36,3.8
0,3.36,2.4
0.9,3.36,2
1.7,3.65,4.9
0,3.65,5.3
1.7,3.65,3.2
0,3.65,5.1
7.7,3.65,3.4
0.6,3.65,3.2
8.8,3.65,2.7
1.7,3.65,8.6
0,3.65,5.3
0,3.65,3.2
0,3.65,2.5
0,3.65,2
13,3.65,1.8
3.2,3.65,1.8
0,3.65,1.8
0,3.65,1.7
0,3.65,1.5
0,3.65,1.4
0.7,3.65,1.3
1.8,3.65,1.7
7.4,3.65,1.7
0.8,3.65,1.4
0.6,3.65,1.6
0,3.65,1.5
1.5,3.65,1.5
0,3.65,1.5
0,3.65,1.3
0,3.65,1.1
0.5,3.65,1.2
0,3.65,1.6
0,3.65,1.1
0.7,3.79,0.8
